studious,adj.,好學的
crib,n.,嬰兒床
minister,n.,部長
backward,adj.,落後的
masculine,n.,男性
weakling,n.,弱者
platter,n.,拼盤
propose,v.,求婚
conundrum,n.,難題
malleable,adj.,可塑性的
perpetually,adv.,永遠地
halfway,adv.,中途地
lengthy,adj.,冗長的;囉唆的;長的
momentous,adj.,重要的
apparition,n.,幻影
betrothed,n.,訂婚
rigid,adj.,死板的
madhouse,n.,瘋人院
jolt,v.,顛簸
plight,n.,困境
coastal,adj.,海岸的
mighty,adj.,強大的
assimilate,v.,使同化
prevail,v.,戰勝
harrowing,adj.,使人痛苦的
nit,n.,尼特;沒用的人
lynche,v.,被私刑處死
irrepressibly,adv.,不可抑制地
cavalier,n.,騎士
humiliate,v.,使丟臉;羞辱
unrequited,adj.,單相思的
fervent,adj.,熱情的
burgh,n.,自治市鎮
slumber,n.,睡眠
deceitful,adj.,欺騙的
pawn,n.,典當
distress,n.,危難;悲痛;苦惱
plunge,v.,跌入
addled,adj.,迷糊的
curfew,n.,宵禁
auspicious,adj.,吉祥的
accommodation,n.,住宿
imperative,adj.,至關重要的

